result,base,more_ctvs,fewer_ctvs,more_techs,fewer_techs,failure_50,failure_200,no_hlvs,no_weather,historic_weather,manual_resets_only,minor_repairs_only,medium_repairs_only,major_repairs_only,major_replacements_only,annual_service_only
availability - time based,0.9594629699333881,0.9595382087881998,0.9603775044941011,0.9546470791318944,0.963089590352266,0.965711794188026,0.9425201490493934,0.9808900998821415,0.9674747616043048,0.9613914127344676,0.9967803188133192,0.9966978773556828,0.998770967511518,0.9997496994011833,0.9733688793914214,0.9842074012785866
availability - production based,0.9606774339595362,0.9582347364813842,0.9601014154147504,0.9530881347317232,0.9627650365310637,0.9643977449172083,0.9404415242614121,0.9808542926757068,0.0,0.961215642335977,0.9965851559874667,0.9966218698193073,0.9986780809043208,0.9996325306102124,0.9732770077693367,0.9840240831348854
capacity factor - net,0.45802453308448915,0.4551181696111462,0.4560047576955281,0.4526737665031727,0.457269857280047,0.4580453199343643,0.4466671983942269,0.4658614359744362,0.0,0.4628767140721058,0.47333288471688156,0.47335032212685074,0.4743269294128501,0.47478024986408573,0.4622625682795827,0.4673669431084497
capacity factor - gross,0.476739531055145,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.0,0.4815204979118749,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433
power production,9637422447.5,9175073071.0,9192946474.0,9125794491.0,9218450578.0,9234083719.0,9004703519.5,9391654742.5,0.0,7776217706.0,9542277356.0,9542628890.0,9562317058.5,9571455890.0,9319102433.5,9422005405.0
task completion rate,0.9992174399105646,0.9991928974979822,0.9984862598975315,0.9991740412979351,0.9990992005404796,0.9987163029525032,0.9968633128242249,0.9982293050022134,0.9994247583985274,0.9992543990456307,0.9992585727525487,1.0,0.9944444444444445,1.0,0.9558823529411765,1.0
annual direct O&M cost,17.038626416336495,19.120323792707055,16.478548579818437,16.738554110807826,12.791769739406819,11.219369166371134,27.941914549774033,5.582164107816535,15.408161465809735,15.722406213537557,3.2863141070935358,3.74696011871204,3.6005693150127356,4.764046179864059,14.437725044144035,4.728989107079036
annual vessel cost,11.308303341268,11.6633953453098,11.0685125981746,10.7435616450544,8.473832295571201,7.143183184727299,19.686828568130203,1.8906781261726997,10.1399254841659,10.488560037852624,1.7520781254497,1.8172534724411114,1.7351833333689002,1.9864862104576668,10.7292390625002,1.7869031254352
ctv cost,1.9179781259875999,3.1779343759785,1.8777554697002998,1.8476281259551002,1.9006531260083002,1.8770281256982,1.9017031265725002,1.8906781261726997,1.8849085946964999,1.808629558249875,1.7520781254497,1.8172534724411114,1.7351833333689002,1.7782552083335001,1.9171031250001,1.7869031254352
fsv cost,0.1817830277804,0.20787017072020003,0.15345712847440002,0.17145035937710001,0.17333646122950003,0.10806929514019999,0.4264903721133,0.0,0.1299368547473,0.15762557508887498,0.0,0.0,0.0,0.20823100212416668,0.0,0.0
hlv cost,9.208542187499999,8.277590798611099,9.037299999999899,8.724483159722201,6.3998427083334,5.1580857638889,17.3586350694444,0.0,8.1250800347221,8.522304904513875,0.0,0.0,0.0,0.0,8.812135937500098,0.0
annual repair cost,4.129,3.6213500000000005,3.8758000000000004,3.6936500000000003,3.5509,2.54195,6.72085,2.1572500000000003,3.7340000000000004,3.6356875,0.0,0.22499999999999998,0.33115,0.2205,2.17425,1.40785
annual technician cost,1.6013230750684933,3.8355784473972605,1.5342359816438358,2.3013424657534247,0.7670374438356163,1.5342359816438358,1.5342359816438358,1.5342359816438358,1.5342359816438358,1.5981586756849313,1.5342359816438358,1.7047066462709286,1.5342359816438358,2.5570599694063927,1.5342359816438358,1.5342359816438358
ctv utilization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fsv utilization,0.908256880733945,0.925,0.9010989010989011,0.9077669902912622,0.9009433962264151,0.8955223880597015,0.9264413518886679,0.0,0.8944099378881988,0.9066666666666666,0.0,0.0,0.0,0.9130434782608695,0.0,0.0
hlv utilization,0.9640151515151515,0.9526748971193416,0.9499036608863198,0.9588235294117647,0.953125,0.9457627118644067,0.9700772200772201,0.0,0.9429657794676806,0.9557291666666666,0.0,0.0,0.0,0.0,0.96,0.0
