run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2000,28484827.39726027,300000.0,45032216.6921029,0,1111027.0,74928071.08936317
1,1,2001,28407000.0,300000.0,41269569.85121254,0,1285560.0,71262129.85121253
1,1,2002,28407000.0,300000.0,25112370.70559747,0,1184021.1,55003391.80559747
1,1,2003,28407000.0,300000.0,64212661.52395211,0,2350411.0,95270072.52395211
1,1,2004,28484827.39726027,300000.0,30413636.658109874,0,1557017.7,60755481.75537015
1,1,2005,28407000.0,300000.0,58091768.530503586,0,1540199.9000000001,88338968.43050359
1,1,2006,28407000.0,300000.0,49725251.18988594,0,2210743.8000000003,80642994.98988594
1,1,2007,28407000.0,300000.0,39698124.49545058,0,1772187.0,70177311.49545059
1,1,2008,28484827.39726027,300000.0,37034755.99013429,0,1038357.3,66857940.68739456
1,1,2009,28407000.0,300000.0,48798148.98198901,0,1699367.9,79204516.88198902
1,1,2010,28407000.0,300000.0,45192617.4239372,0,1754849.4,75654466.82393721
1,1,2011,28407000.0,300000.0,48383685.96301358,0,1869835.7,78960521.66301358
1,1,2012,28484827.39726027,300000.0,51703069.95158033,0,2150249.8,82638147.1488406
1,1,2013,28407000.0,300000.0,30735252.172515083,0,1393780.5999999999,60836032.77251508
1,1,2014,28407000.0,300000.0,33935641.6114597,0,1115845.9000000001,63758487.5114597
1,1,2015,28407000.0,300000.0,23393172.93141391,0,1117516.3,53217689.23141391
1,1,2016,28484827.39726027,300000.0,39709400.81882718,0,1548239.4000000001,70042467.61608745
1,1,2017,28407000.0,300000.0,27841408.99275315,0,1119858.9,57668267.892753154
1,1,2018,28407000.0,300000.0,59199515.11878557,0,1699847.9,89606363.01878557
1,1,2019,28407000.0,300000.0,49061821.35525089,0,1464176.9000000001,79232998.25525089
1,1,2020,28484827.39726027,300000.0,57867818.385861345,0,1808589.7,88461235.48312162
2,2,2000,28484827.39726027,300000.0,22157283.348980155,0,1011118.7,51953229.446240425
2,2,2001,28407000.0,300000.0,59160919.383694716,0,1212700.3,89080619.68369472
2,2,2002,28407000.0,300000.0,57511156.84074209,0,1874917.3,88093074.1407421
2,2,2003,28407000.0,300000.0,31396172.07724337,0,1037671.5,61140843.57724337
2,2,2004,28484827.39726027,300000.0,36992671.24419032,0,1565851.5,67343350.14145058
2,2,2005,28407000.0,300000.0,61235411.29798258,0,2141362.1,92083773.39798258
2,2,2006,28407000.0,300000.0,39175635.31497163,0,1391055.5,69273690.81497163
2,2,2007,28407000.0,300000.0,47682104.83382679,0,1344478.2,77733583.03382678
2,2,2008,28484827.39726027,300000.0,28717977.508768436,0,1151646.1,58654451.006028704
2,2,2009,28407000.0,300000.0,39471684.84841561,0,1081469.3,69260154.14841561
2,2,2010,28407000.0,300000.0,76845298.68212023,0,2086757.7,107639056.38212024
2,2,2011,28407000.0,300000.0,17124581.88046885,0,1242322.5999999999,47073904.48046885
2,2,2012,28484827.39726027,300000.0,58944543.3399749,0,1748659.1,89478029.83723517
2,2,2013,28407000.0,300000.0,22665741.465357594,0,1454082.0,52826823.465357594
2,2,2014,28407000.0,300000.0,37715689.878425516,0,1778898.4000000001,68201588.27842551
2,2,2015,28407000.0,300000.0,41471064.93938885,0,1612471.4,71790536.33938885
2,2,2016,28484827.39726027,300000.0,49330026.4671235,0,1238776.8,79353630.66438377
2,2,2017,28407000.0,300000.0,58957730.72973112,0,1876327.5,89541058.22973111
2,2,2018,28407000.0,300000.0,31693051.538719967,0,872860.8,61272912.338719964
2,2,2019,28407000.0,300000.0,65024847.53969555,0,2227575.1,95959422.63969555
2,2,2020,28484827.39726027,300000.0,42182300.18529881,0,1890844.2000000002,72857971.78255908
3,3,2000,28484827.39726027,300000.0,19854759.962108463,0,803838.0,49443425.359368734
3,3,2001,28407000.0,300000.0,21500046.263746165,0,1278807.7,51485853.96374617
3,3,2002,28407000.0,300000.0,68283907.26670961,0,1929671.8,98920579.06670961
3,3,2003,28407000.0,300000.0,55605337.233546026,0,1921728.7,86234065.93354602
3,3,2004,28484827.39726027,300000.0,53114798.656859055,0,1241762.5,83141388.55411932
3,3,2005,28407000.0,300000.0,43336153.23102348,0,1728279.5999999999,73771432.83102348
3,3,2006,28407000.0,300000.0,33183253.809238154,0,1814232.2,63704486.00923815
3,3,2007,28407000.0,300000.0,51772384.309230424,0,1389453.4000000001,81868837.70923042
3,3,2008,28484827.39726027,300000.0,38557530.119757906,0,1275041.3,68617398.81701818
3,3,2009,28407000.0,300000.0,65589348.212919705,0,1977264.0999999999,96273612.3129197
3,3,2010,28407000.0,300000.0,69886796.89791662,0,2112711.7,100706508.59791662
3,3,2011,28407000.0,300000.0,34785074.805733725,0,986889.0,64478963.805733725
3,3,2012,28484827.39726027,300000.0,37538152.56075343,0,1554703.0,67877682.9580137
3,3,2013,28407000.0,300000.0,55370525.333294205,0,1558825.0,85636350.33329421
3,3,2014,28407000.0,300000.0,50891825.35572047,0,1504003.1,81102828.45572047
3,3,2015,28407000.0,300000.0,61727201.86049121,0,1900130.8,92334332.66049121
3,3,2016,28484827.39726027,300000.0,22645667.3234699,0,1291778.0,52722272.72073017
3,3,2017,28407000.0,300000.0,48877965.11621828,0,1296955.3,78881920.41621828
3,3,2018,28407000.0,300000.0,21169892.832947522,0,837896.5,50714789.33294752
3,3,2019,28407000.0,300000.0,44682014.35846512,0,1335796.5,74724810.85846512
3,3,2020,28484827.39726027,300000.0,30428636.82732031,0,866149.4,60079613.624580584
4,4,2000,28484827.39726027,300000.0,28692167.718895935,0,1471492.8,58948487.9161562
4,4,2001,28407000.0,300000.0,38105772.81270898,0,1930807.5,68743580.31270897
4,4,2002,28407000.0,300000.0,31314765.244436458,0,1237352.8,61259118.044436455
4,4,2003,28407000.0,300000.0,16331559.977500446,0,781936.8,45820496.77750044
4,4,2004,28484827.39726027,300000.0,16674825.761759803,0,1388988.0999999999,46848641.259020075
4,4,2005,28407000.0,300000.0,19634021.62493621,0,1164177.5999999999,49505199.22493621
4,4,2006,28407000.0,300000.0,70477165.63426217,0,2039372.2,101223537.83426218
4,4,2007,28407000.0,300000.0,52165376.76227878,0,1618030.3,82490407.06227878
4,4,2008,28484827.39726027,300000.0,37883021.944914706,0,1733085.7,68400935.04217498
4,4,2009,28407000.0,300000.0,61918654.106615186,0,1547854.9,92173509.00661519
4,4,2010,28407000.0,300000.0,76925183.54490142,0,2336139.9,107968323.44490142
4,4,2011,28407000.0,300000.0,31973648.078054454,0,1094316.2,61774964.27805445
4,4,2012,28484827.39726027,300000.0,44609308.15976698,0,1923521.7,75317657.25702725
4,4,2013,28407000.0,300000.0,36678732.55088148,0,1230531.2,66616263.750881486
4,4,2014,28407000.0,300000.0,31532687.599055704,0,1303582.9,61543270.499055706
4,4,2015,28407000.0,300000.0,42393450.39720726,0,1634754.3,72735204.69720726
4,4,2016,28484827.39726027,300000.0,36825636.00486219,0,1139375.2,66749838.60212246
4,4,2017,28407000.0,300000.0,39519524.277635895,0,1718569.5,69945093.7776359
4,4,2018,28407000.0,300000.0,18800329.1798845,0,1055298.5,48562627.6798845
4,4,2019,28407000.0,300000.0,36956465.3622862,0,1665828.0,67329293.36228621
4,4,2020,28484827.39726027,300000.0,49314204.681496024,0,1880217.4,79979249.4787563
5,5,2000,28484827.39726027,300000.0,28739428.725464612,0,1366857.8,58891113.92272488
5,5,2001,28407000.0,300000.0,50121233.33017821,0,2194499.9,81022733.2301782
5,5,2002,28407000.0,300000.0,64605062.27621407,0,1944996.4000000001,95257058.67621407
5,5,2003,28407000.0,300000.0,62447126.17406046,0,1831269.5,92985395.67406046
5,5,2004,28484827.39726027,300000.0,45581441.72662196,0,1840403.7,76206672.82388224
5,5,2005,28407000.0,300000.0,56670271.78218383,0,2222220.2,87599491.98218383
5,5,2006,28407000.0,300000.0,44019186.203254335,0,1346779.5999999999,74072965.80325434
5,5,2007,28407000.0,300000.0,34641347.88582998,0,1479529.2000000002,64827877.08582998
5,5,2008,28484827.39726027,300000.0,34041173.17967679,0,917726.6000000001,63743727.176937066
5,5,2009,28407000.0,300000.0,80197488.88112836,0,2718050.8000000003,111622539.68112835
5,5,2010,28407000.0,300000.0,56550572.47249271,0,1412818.5,86670390.97249271
5,5,2011,28407000.0,300000.0,32297765.97731857,0,1070773.6,62075539.57731857
5,5,2012,28484827.39726027,300000.0,30087313.611765303,0,922163.7,59794304.70902558
5,5,2013,28407000.0,300000.0,49943354.98614229,0,1653762.0,80304116.9861423
5,5,2014,28407000.0,300000.0,72325716.09913722,0,2174724.0,103207440.09913722
5,5,2015,28407000.0,300000.0,34866673.48247579,0,1047341.6,64621015.08247579
5,5,2016,28484827.39726027,300000.0,63362234.65776983,0,1574603.2,93721665.2550301
