run,random_seed,time_based_availability,production_based_availability
1,1,0.9128533246414602,0.9125575670145719
2,2,0.9176752498913516,0.917304957350178
3,3,0.917776075619296,0.9163180855974652
4,4,0.9121333116036506,0.9088653815984226
5,5,0.9151096262494568,0.9139807950328748
6,6,0.9165726857887875,0.9157153304100745
7,7,0.9183008474576271,0.9178474052116987
8,8,0.9181906779661017,0.9174035155769709
9,9,0.9179666449369839,0.9176472920964204
10,10,0.9121360278139939,0.9106605587499956
11,11,0.9192848761408083,0.9180859557618781
12,12,0.9195721425467188,0.9193797243503364
13,13,0.9182051282051282,0.9187479158208463
14,14,0.9188089960886571,0.920565844105326
15,15,0.9156811169056932,0.9176819207827355
16,16,0.9156189700130378,0.9155507647796531
17,17,0.9171116905693177,0.9145363788772104
18,18,0.9201787266405911,0.9195453435206963
19,19,0.9202681442850934,0.921217581227167
20,20,0.9154110169491525,0.9154421075269255
21,21,0.9132182746631899,0.9115226422501747
22,22,0.9182106692742286,0.9185693799637941
23,23,0.9175774663189917,0.9179695565732401
24,24,0.9171122338113864,0.9156898087386606
25,25,0.9179855497609735,0.9190518588890251
26,26,0.9188905910473707,0.9181965946549595
27,27,0.9146923076923077,0.9126329541354755
28,28,0.9150609517601043,0.9149189123087033
29,29,0.9155622555410691,0.9148269823764545
30,30,0.9190311820947414,0.9196609159054654
31,31,0.9197277270751847,0.9203139015186816
32,32,0.9129232942199044,0.9110507112302662
33,33,0.9166694915254238,0.914830494062465
34,34,0.9203679921773142,0.9231196282132965
35,35,0.9175795306388527,0.9180354882119862
36,36,0.9186647109952195,0.9195096656389374
37,37,0.9105043459365493,0.9096271743106398
38,38,0.9117825945241199,0.9114857264512302
39,39,0.9157980225988701,0.9141442027003269
40,40,0.916198717948718,0.9152787463765975
41,41,0.9154952194697957,0.9145806785326146
42,42,0.9188991742720556,0.9191655920630409
43,43,0.9197943285528031,0.920619727669251
44,44,0.9140612777053455,0.9140383896873541
45,45,0.914940569317688,0.9148645360480595
46,46,0.9177986744893525,0.9205601488608178
47,47,0.9199040634506737,0.920146885089039
48,48,0.9198663624511082,0.9203371728737836
49,49,0.9148167101260322,0.9136644693560333
50,50,0.917542372881356,0.916033527415897
