run,random_seed,time_based_availability,production_based_availability
1,1,0.9450026072220049,0.9424265052035636
2,2,0.9397638291400513,0.9342196686360124
3,3,0.9427919002303046,0.9380147414167821
4,4,0.9433471298831095,0.9401882011110463
5,5,0.9414196323816973,0.937511919383948
6,6,0.9439017077304133,0.940591778388396
7,7,0.9440192499891366,0.9406620603178861
8,8,0.9416068091948029,0.9373810411819857
9,9,0.9442512927475775,0.9410297364108762
10,10,0.9439148524746882,0.9415423859636253
11,11,0.9423450875592057,0.9382538060097099
12,12,0.9417572676313388,0.9383594721977667
13,13,0.943020032155738,0.9394257160589344
14,14,0.9436459827054273,0.9408271016918734
15,15,0.9411591274497023,0.9359671084263584
16,16,0.9430244861599966,0.938343060008768
17,17,0.9427863598835441,0.9384534683225595
18,18,0.9431626689262591,0.9377809282450627
19,19,0.9439265849737105,0.9393895096966832
20,20,0.9427530091687307,0.9392756124608027
21,21,0.9445812149654543,0.9421698347606432
22,22,0.9410343066962151,0.9375784419641119
23,23,0.9430576196063095,0.9390992256042549
24,24,0.9416417894233694,0.9362868368920534
25,25,0.9451113501064615,0.9425262787183761
26,26,0.943242623734411,0.938824092526766
27,27,0.9441062660235519,0.9408053521163088
28,28,0.9443280971624733,0.9404192813639949
29,29,0.942793203841307,0.9397219733222959
30,30,0.9452538782427323,0.9418520649935583
31,31,0.9442952896189111,0.9414492732728436
32,32,0.9414819884413158,0.93725338230331
33,33,0.9399418806761396,0.9348569233613216
34,34,0.9420594881154131,0.9395580056519623
35,35,0.9414432060139921,0.9369077018571426
36,36,0.9434419675835397,0.9391502899946242
37,37,0.9420416720983792,0.937622433135672
38,38,0.9431874375353061,0.9393232972999003
39,39,0.9420842567244601,0.9385500481170771
40,40,0.9428101507843393,0.9384474327574153
41,41,0.9395260287663495,0.9354088799328822
42,42,0.9440015426063529,0.9410609468237304
43,43,0.9438033937339765,0.9397067481319322
44,44,0.9409809672793639,0.9368569985858057
45,45,0.9435196410724374,0.940711757791051
46,46,0.9435499500282449,0.9410386550681958
47,47,0.9426199322122278,0.9377874762014101
48,48,0.9448582323034806,0.941594511622408
49,49,0.9426953243818711,0.9397170239745292
50,50,0.941345761091557,0.9361130459224616
