run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Heavy Lift Vessel
2,2,2001,2562856.4513402777,1168575.5769642775,1168575.9421200594,1168570.3021676813,53092341.111102425
2,2,2002,12847881.563898148,1168575.8375461667,1168573.3060248103,1168579.7557824028,41157546.377490565
2,2,2003,9636339.406515297,1168580.5732064734,1168583.3766974602,1168580.7578611756,18254087.962962963
2,2,2004,7859706.142608796,1171781.7539408458,1171780.8242880874,1171778.9960749946,25617623.527277593
2,2,2005,9336819.558224536,1168578.8285385699,1168580.5313358158,1168579.889641979,48392852.490241684
2,2,2006,5795276.167273148,1168577.7553131606,1168574.0748086227,1168577.4470897834,29874629.87048692
2,2,2007,10411976.871711055,1168575.6653533317,1168578.9300636076,1168574.7584994931,33764398.6081993
2,2,2008,8813887.946564814,1173384.0491917448,1173383.6756494448,1173382.0225476162,16383939.814814815
2,2,2009,0.0,1166982.7030349455,1166986.0197971778,1166980.0144723805,35970736.11111111
2,2,2010,9614791.927409722,1168583.2716464163,1168586.7186878705,1168583.9576124803,63724752.806763746
2,2,2011,5414376.087398148,1168577.4798859847,1168575.988010877,1168571.822089964,8204480.5030838745
2,2,2012,14132071.81619213,1171773.492757612,1171767.4396027029,1171772.6927843164,41297157.898638144
2,2,2013,9050824.890386574,1168577.659155052,1168575.1081985745,1168573.99280258,10109189.814814815
2,2,2014,5905768.397569444,1168580.229249202,1168576.4643085126,1168579.4171100769,28304185.37018828
2,2,2015,9548760.09131713,1168579.15724538,1168582.7615149666,1168578.1010389861,28416564.828272387
2,2,2016,11472651.899439815,1171782.0976107442,1171782.4712117165,1171782.2210834501,34342027.777777776
2,2,2017,13517818.867467592,1168580.6095934901,1168576.0064685484,1168582.436947242,41934172.80925425
2,2,2018,0.0,1168582.9005725037,1168585.3416282348,1168587.0002229302,28187296.2962963
2,2,2019,16080033.311608797,1168580.3048303993,1168585.3560879887,1168579.3697168462,45439069.197451524
2,2,2020,10217067.254868057,1171791.426296897,1171788.665220178,1171791.7143449935,28449861.124568682
3,3,2000,0.0,1168558.3258457545,1168568.2924328628,1168562.6351907256,16349070.708639119
3,3,2001,0.0,1168572.4283042622,1168573.30239505,1168578.938877476,17994321.59416938
3,3,2002,14591757.34473611,1168580.4463339704,1168579.7110539211,1168580.7916932397,50186408.972892374
3,3,2003,12021023.74419676,1168580.2418856192,1168579.9731043298,1168581.4222761053,40078571.85208321
3,3,2004,4950668.244185185,1171777.426903283,1171774.7723646713,1171777.376554972,44648800.83685095
3,3,2005,16453642.422770834,1168576.3375998489,1168580.2749820638,1168581.0475225905,23376773.14814815
3,3,2006,17322189.462050855,1168578.399199642,1168579.3259796593,1168574.8768582614,12355331.745149737
3,3,2007,3159320.2179791667,1168577.8218259376,1168577.1270034444,1168575.4264792518,45107333.71594263
3,3,2008,9575464.799462963,1171781.3275517963,1173388.451474349,1173384.4940110652,25463511.04725773
3,3,2009,30532292.16679964,1168574.5258737123,1166980.4842300864,1166979.8673325244,31554521.168683745
3,3,2010,8341769.809043982,1168580.4476981303,1168580.9931056816,1168580.816560554,58039284.83150827
3,3,2011,3659083.743759259,1168571.3428357714,1168571.098371691,1168572.391122069,27620276.229644936
3,3,2012,10923304.71070779,1172571.896362176,1171775.3982617753,1171773.7035698358,23098726.85185185
3,3,2013,4533575.706296296,1167783.0828307571,1168712.1609791513,1168712.0601001987,47331742.323087804
3,3,2014,0.0,1168577.0272619678,1168443.551798831,1168443.6655485563,47386361.11111111
3,3,2015,6311846.324990741,1168572.4383971058,1168575.805263574,1168575.9852376743,51909631.30660211
3,3,2016,10903269.671259258,1171778.7089852677,1171775.957145838,1171773.5416350914,8227069.444444444
3,3,2017,4335120.115719907,1168580.3859164724,1168587.0170015676,1168585.004987733,41037092.59259259
3,3,2018,0.0,1168584.244265756,1168587.0559536277,1168587.273468878,17664134.259259257
3,3,2019,7135979.801099537,1168580.4398496714,1168580.7313975478,1168582.4416604512,34040290.94445792
3,3,2020,7245347.1231296295,1171784.22232499,1171785.5872337436,1171784.709446764,19667935.185185187
4,4,2000,5207962.398888889,1168556.0979020544,1168554.1419754978,1168562.53637129,19978532.543758202
4,4,2001,8717436.134578703,1168578.9284817793,1168576.5014699874,1168577.0064298087,25882604.241748706
4,4,2002,11158852.737210648,1168578.9518127693,1168577.1288807858,1168578.8898825664,16650177.536649691
4,4,2003,3853737.53518287,1168579.6339747282,1168579.8130653042,1168579.6619442103,8972083.333333334
4,4,2004,3842856.908826389,1171777.7492400524,1171783.6177782412,1171776.8992686893,9316630.58664643
4,4,2005,8035909.205398148,1168581.9894375224,1168582.1737645345,1168580.3035329608,8092367.952803046
4,4,2006,17401303.666652776,1168575.6970503603,1168576.953227176,1168578.023968256,49570131.293363616
4,4,2007,6740857.866097221,1168578.1104148387,1168578.3507077494,1168575.3980219334,41918787.03703704
4,4,2008,0.0,1171785.2261338965,1173386.0333720136,1171782.581145157,34366068.10426363
4,4,2009,0.0,1168578.9680639147,1166981.7681334196,1168582.9669712246,58414510.40344663
4,4,2010,15433639.560290378,1168581.6506607546,1168580.0431061813,1168576.21428224,57985806.07656186
4,4,2011,3419589.936483796,1168574.5491203188,1168573.5188357849,1168567.4810219621,25048342.592592593
4,4,2012,22614551.91394513,1171775.091326619,1171776.1649190797,1171772.873283477,18479432.116292678
4,4,2013,0.0,1168711.157020201,1168709.528313985,1168576.7150661838,33172735.15048111
4,4,2014,0.0,1168446.3810336846,1168449.4986509332,1168579.738576867,28027211.98079422
4,4,2015,9790660.029921295,1168578.1350217606,1168578.802771075,1168575.4810290528,29097057.948464073
4,4,2016,4961523.748520833,1171784.1551063515,1171783.884293283,1171784.9576824587,28348759.25925926
4,4,2017,11367459.690419996,1168588.8016909496,1168586.560351941,1168587.4971674166,24646301.72800559
