result,base_100pct_reduction,more_ctvs_100pct_reduction,fewer_ctvs_100pct_reduction,more_techs_100pct_reduction,fewer_techs_100pct_reduction,failure_50_100pct_reduction,failure_200_100pct_reduction,no_hlvs_100pct_reduction,no_weather_100pct_reduction,historic_weather_100pct_reduction,manual_resets_only_100pct_reduction,minor_repairs_only_100pct_reduction,medium_repairs_only_100pct_reduction,major_repairs_only_100pct_reduction,major_replacements_only_100pct_reduction,annual_service_only_100pct_reduction
availability - time based,0.9472860491376951,0.9454436957582828,0.9456115548994631,0.9462890927272943,0.9429514041833832,0.9609135227800331,0.9048384504577436,0.978217746639841,0.9514437671877046,0.9437945542079172,0.9873651769663925,0.9923638971892522,0.9982294432076573,0.9997218716889487,0.977095411850141,0.9842074012785866
availability - production based,0.946111763485423,0.9451217129102716,0.9454749176144012,0.9448793420794942,0.9422300698788292,0.9598977231730249,0.9024793094485976,0.9772956893754201,0.0,0.941475107001715,0.9870724305539658,0.9922673284640845,0.9981429976982498,0.9996657631794817,0.9773607806199461,0.9840240831348854
capacity factor - net,0.45108002269823894,0.4488900763699568,0.44905783263292814,0.4487749611850537,0.44751667668662726,0.4559080130914257,0.42863686296364634,0.4641712603225435,0.0,0.4533705910679677,0.4688147702899241,0.4712821118902209,0.47407278908578276,0.47479603383175195,0.4642021757203459,0.4673669431084497
capacity factor - gross,0.476739531055145,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.0,0.4815204979118749,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433,0.4749214276360433
power production,9491301060.0,9049516206.0,9052898132.0,9047195511.5,9021828798.0,9190996126.0,8641216284.5,9357581207.0,0.0,7616517121.0,9451193253.5,9500934268.0,9557193650.5,9571774091.0,9358204454.0,9422005405.0
task completion rate,0.9995032290114257,0.999225606608157,0.9996167603474706,0.99911246354761,0.9993638676844784,0.9989378651088688,0.9995275059061762,0.9997536035481089,0.9996107434799533,0.9998410427594977,0.9996281836772635,0.9990200881920627,0.9947089947089947,0.9130434782608695,0.9655172413793104,1.0
annual direct O&M cost,14.9246170978847,19.44758268138468,17.882039532939302,15.89111779200717,17.10440278782915,9.362852455662205,26.417611617367108,4.038317078106907,12.852592480854009,18.519883302714646,3.291937911217707,3.6569724099412224,3.865440002355778,3.836819519100666,11.743642259259333,4.728112390366707
annual vessel cost,10.855609097884907,12.978146019192703,13.519780268007977,11.044340394747096,13.449103656322473,6.598193190730777,19.74125235243592,1.8888078131755972,9.14413321592266,13.951945522920166,1.758578646286304,1.8304088543857082,1.8789875579113395,1.9795615191006668,8.582634259259333,1.786903125435306
ctv cost,1.9179781256601065,3.069405209005004,1.8809291673118778,1.8838531256464957,1.8640799485659727,1.7589031253364773,1.8871890636592288,1.8888078131755972,1.8103531256428593,1.8757539068870415,1.758578646286304,1.8304088543857082,1.8789875579113395,1.7359635416668333,1.6487552083335,1.786903125435306
fsv cost,0.20848409722479982,0.22168403935449982,0.14271394791829997,0.21098883160039977,0.17040617303419994,0.046208120949899976,0.26973377488799943,0.0,0.144842937502,0.2951035083942497,0.0,0.0,0.0,0.24359797743383335,0.0,0.0
hlv cost,8.729146875000001,9.6870567708332,11.4961371527778,8.9494984375002,11.4146175347223,4.7930819444444,17.584329513888697,0.0,7.188937152777799,11.781088107638874,0.0,0.0,0.0,0.0,6.933879050925834,0.0
annual repair cost,2.4690000000000003,2.63605,2.8289,2.5467500000000003,2.8887,1.2313,5.143,0.61615,2.1751,2.970875,0.0,0.22655555555555557,0.3864444444444445,0.25725000000000003,1.561,1.40785
annual technician cost,1.6000079999999997,3.8333866621917805,1.5333592649315066,2.300027397260274,0.7665991315068494,1.5333592649315066,1.5333592649315066,1.5333592649315066,1.5333592649315066,1.5970627797945203,1.5333592649315066,1.6000079999999999,1.6000079999999999,1.6000079999999997,1.6000079999999997,1.5333592649315066
ctv utilization,0.5750524682909025,0.49391866210566326,0.5745650758210066,0.5773735325505832,0.5834976063080822,0.34434396207562606,0.8371812702828002,0.5933852140077821,0.5809413356528462,0.568696057849312,0.44288557213930346,0.22200977267898872,0.04232639966883991,0.0,0.0,0.43271316903278473
fsv utilization,0.41810344827586204,0.3545816733067729,0.38181818181818183,0.42063492063492064,0.3787878787878788,0.42857142857142855,0.45791245791245794,0.0,0.38461538461538464,0.31365313653136534,0.0,0.0,0.0,0.3609467455621302,0.0,0.0
hlv utilization,0.3055028462998102,0.2945205479452055,0.3201174743024963,0.31226053639846746,0.3106508875739645,0.2671232876712329,0.3386295928500497,0.0,0.22727272727272727,0.31645569620253167,0.0,0.0,0.0,0.0,0.3269230769230769,0.0
